# Czas Amplituda
0.000000 -0.145000
0.002778 -0.145000
0.005556 -0.145000
0.008333 -0.145000
0.011111 -0.145000
0.013889 -0.145000
0.016667 -0.145000
0.019444 -0.145000
0.022222 -0.120000
0.025000 -0.135000
0.027778 -0.145000
0.030556 -0.150000
0.033333 -0.160000
0.036111 -0.155000
0.038889 -0.160000
0.041667 -0.175000
0.044445 -0.180000
0.047222 -0.185000
0.050000 -0.170000
0.052778 -0.155000
0.055556 -0.175000
0.058333 -0.180000
0.061111 -0.190000
0.063889 -0.180000
0.066667 -0.155000
0.069445 -0.135000
0.072222 -0.155000
0.075000 -0.190000
0.077778 -0.205000
0.080556 -0.235000
0.083333 -0.225000
0.086111 -0.245000
0.088889 -0.250000
0.091667 -0.260000
0.094445 -0.275000
0.097222 -0.275000
0.100000 -0.275000
0.102778 -0.265000
0.105556 -0.255000
0.108334 -0.265000
0.111111 -0.275000
0.113889 -0.290000
0.116667 -0.290000
0.119445 -0.290000
0.122222 -0.290000
0.125000 -0.285000
0.127778 -0.295000
0.130556 -0.305000
0.133334 -0.285000
0.136111 -0.275000
0.138889 -0.275000
0.141667 -0.280000
0.144445 -0.285000
0.147222 -0.305000
0.150000 -0.290000
0.152778 -0.300000
0.155556 -0.280000
0.158334 -0.290000
0.161111 -0.300000
0.163889 -0.315000
0.166667 -0.320000
0.169445 -0.335000
0.172222 -0.360000
0.175000 -0.385000
0.177778 -0.385000
0.180556 -0.405000
0.183334 -0.455000
0.186111 -0.485000
0.188889 -0.485000
0.191667 -0.425000
0.194445 -0.330000
0.197223 -0.220000
0.200000 -0.070000
0.202778 0.120000
0.205556 0.375000
0.208334 0.620000
0.211111 0.780000
0.213889 0.840000
0.216667 0.765000
0.219445 0.520000
0.222223 0.170000
0.225000 -0.165000
0.227778 -0.365000
0.230556 -0.435000
0.233334 -0.425000
0.236111 -0.370000
0.238889 -0.330000
0.241667 -0.325000
0.244445 -0.335000
0.247223 -0.345000
0.250000 -0.330000
0.252778 -0.325000
0.255556 -0.315000
0.258334 -0.310000
0.261112 -0.320000
0.263889 -0.335000
0.266667 -0.340000
0.269445 -0.325000
0.272223 -0.345000
0.275000 -0.335000
0.277778 -0.330000
0.280556 -0.335000
0.283334 -0.330000
0.286112 -0.325000
0.288889 -0.330000
0.291667 -0.330000
0.294445 -0.345000
0.297223 -0.355000
0.300000 -0.335000
0.302778 -0.325000
0.305556 -0.305000
0.308334 -0.320000
0.311112 -0.320000
0.313889 -0.330000
0.316667 -0.340000
0.319445 -0.335000
0.322223 -0.340000
0.325001 -0.345000
0.327778 -0.355000
0.330556 -0.355000
0.333334 -0.340000
0.336112 -0.330000
0.338889 -0.330000
0.341667 -0.330000
0.344445 -0.340000
0.347223 -0.350000
0.350001 -0.325000
0.352778 -0.325000
0.355556 -0.330000
0.358334 -0.330000
0.361112 -0.335000
0.363889 -0.335000
0.366667 -0.340000
0.369445 -0.330000
0.372223 -0.340000
0.375001 -0.350000
0.377778 -0.355000
0.380556 -0.350000
0.383334 -0.345000
0.386112 -0.330000
0.388889 -0.320000
0.391667 -0.335000
0.394445 -0.330000
0.397223 -0.345000
0.400001 -0.330000
0.402778 -0.335000
0.405556 -0.335000
0.408334 -0.345000
0.411112 -0.345000
0.413890 -0.355000
0.416667 -0.340000
0.419445 -0.340000
0.422223 -0.335000
0.425001 -0.330000
0.427778 -0.350000
0.430556 -0.350000
0.433334 -0.345000
0.436112 -0.335000
0.438890 -0.335000
0.441667 -0.335000
0.444445 -0.350000
0.447223 -0.355000
0.450001 -0.355000
0.452778 -0.345000
0.455556 -0.345000
0.458334 -0.335000
0.461112 -0.350000
0.463890 -0.360000
0.466667 -0.360000
0.469445 -0.360000
0.472223 -0.365000
0.475001 -0.360000
0.477779 -0.370000
0.480556 -0.385000
0.483334 -0.370000
0.486112 -0.360000
0.488890 -0.355000
0.491667 -0.360000
0.494445 -0.375000
0.497223 -0.375000
0.500001 -0.365000
0.502779 -0.365000
0.505556 -0.360000
0.508334 -0.360000
0.511112 -0.365000
0.513890 -0.370000
0.516667 -0.355000
0.519445 -0.330000
0.522223 -0.325000
0.525001 -0.325000
0.527779 -0.335000
0.530556 -0.340000
0.533334 -0.315000
0.536112 -0.300000
0.538890 -0.300000
0.541668 -0.290000
0.544445 -0.295000
0.547223 -0.290000
0.550001 -0.285000
0.552779 -0.275000
0.555556 -0.255000
0.558334 -0.250000
0.561112 -0.250000
0.563890 -0.265000
0.566668 -0.255000
0.569445 -0.245000
0.572223 -0.230000
0.575001 -0.245000
0.577779 -0.245000
0.580556 -0.255000
0.583334 -0.255000
0.586112 -0.240000
0.588890 -0.250000
0.591668 -0.255000
0.594445 -0.245000
0.597223 -0.255000
0.600001 -0.250000
0.602779 -0.250000
0.605556 -0.265000
0.608334 -0.260000
0.611112 -0.260000
0.613890 -0.265000
0.616668 -0.270000
0.619445 -0.265000
0.622223 -0.260000
0.625001 -0.275000
0.627779 -0.280000
0.630557 -0.290000
0.633334 -0.275000
0.636112 -0.270000
0.638890 -0.260000
0.641668 -0.280000
0.644445 -0.280000
0.647223 -0.285000
0.650001 -0.275000
0.652779 -0.275000
0.655557 -0.265000
0.658334 -0.270000
0.661112 -0.285000
0.663890 -0.290000
0.666668 -0.280000
0.669445 -0.275000
0.672223 -0.285000
0.675001 -0.280000
0.677779 -0.300000
0.680557 -0.300000
0.683334 -0.305000
0.686112 -0.295000
0.688890 -0.300000
0.691668 -0.310000
0.694446 -0.310000
0.697223 -0.305000
0.700001 -0.295000
0.702779 -0.285000
0.705557 -0.285000
0.708334 -0.290000
0.711112 -0.295000
0.713890 -0.310000
0.716668 -0.290000
0.719446 -0.295000
0.722223 -0.300000
