# Czas Kana³_1 Kana³_2 Kana³_3 Kana³_4 Kana³_5 Kana³_6 Kana³_7 Kana³_8 Kana³_9 Kana³_10 Kana³_11 Kana³_12
0.000000 106.000000 335.000000 228.000000 -227.000000 -59.000000 291.000000 -392.000000 -45.000000 443.000000 372.000000 908.000000 395.000000
0.001000 106.000000 335.000000 228.000000 -227.000000 -59.000000 291.000000 -392.000000 -45.000000 443.000000 372.000000 908.000000 395.000000
0.002000 106.000000 325.000000 219.000000 -219.000000 -60.000000 284.000000 492.000000 837.000000 239.000000 372.000000 908.000000 405.000000
0.003001 86.000000 306.000000 219.000000 -214.000000 -55.000000 274.000000 487.000000 832.000000 240.000000 404.000000 179.000000 -63.000000
0.004001 96.000000 320.000000 224.000000 -195.000000 -65.000000 264.000000 492.000000 842.000000 244.000000 404.000000 174.000000 -62.000000
0.005001 106.000000 325.000000 219.000000 -207.000000 -62.000000 274.000000 492.000000 832.000000 235.000000 414.000000 189.000000 -52.000000
0.006001 96.000000 335.000000 238.000000 -214.000000 -55.000000 274.000000 492.000000 836.000000 235.000000 399.000000 174.000000 -67.000000
0.007001 96.000000 325.000000 228.000000 -214.000000 -70.000000 288.000000 492.000000 831.000000 230.000000 399.000000 174.000000 -62.000000
0.008002 116.000000 335.000000 219.000000 -209.000000 -65.000000 279.000000 487.000000 825.000000 230.000000 394.000000 174.000000 -67.000000
0.009002 101.000000 335.000000 233.000000 -224.000000 -50.000000 279.000000 492.000000 835.000000 240.000000 394.000000 164.000000 -86.000000
0.010002 86.000000 335.000000 248.000000 -217.000000 -65.000000 286.000000 482.000000 830.000000 240.000000 403.000000 184.000000 -56.000000
0.011002 106.000000 340.000000 233.000000 -209.000000 -79.000000 293.000000 482.000000 825.000000 235.000000 403.000000 174.000000 -66.000000
0.012002 86.000000 315.000000 228.000000 -222.000000 -62.000000 288.000000 482.000000 815.000000 225.000000 403.000000 174.000000 -71.000000
0.013003 77.000000 296.000000 219.000000 -200.000000 -70.000000 274.000000 477.000000 825.000000 235.000000 397.000000 174.000000 -66.000000
0.014003 91.000000 297.000000 204.000000 -185.000000 -70.000000 259.000000 497.000000 839.000000 235.000000 397.000000 164.000000 -75.000000
0.015003 96.000000 302.000000 204.000000 -192.000000 -55.000000 252.000000 492.000000 829.000000 225.000000 397.000000 169.000000 -75.000000
0.016003 111.000000 326.000000 214.000000 -197.000000 -53.000000 254.000000 497.000000 829.000000 230.000000 388.000000 154.000000 -85.000000
0.017003 106.000000 326.000000 219.000000 -217.000000 -50.000000 271.000000 497.000000 833.000000 235.000000 388.000000 155.000000 -88.000000
0.018004 91.000000 321.000000 228.000000 -214.000000 -55.000000 274.000000 486.000000 833.000000 244.000000 402.000000 165.000000 -83.000000
